nama_destinasi,username,komentar,rating,tanggal
Ramayana Ballet Prambanan,Ari Indah Lestari,"Sudah lama punya keinganan buat nonton ini. Ternyata pertunjukannya bagus banget. Gk nyesel beli tiket Sendratari Ramayana yg outdoor dengan latar belakang Candi Prambanan, apalagi kalau ada Bulan Pur...","5,0
/5",4 Oct 2024
Ramayana Ballet Prambanan,YULIA FAZRI MAULUDYA,Sangat memuaskan ⭐⭐⭐⭐⭐,"5,0
/5",2 Oct 2024
Ramayana Ballet Prambanan,IC,"Bagus banget, pengalaman yang sangat seru","5,0
/5",1 Oct 2024
Ramayana Ballet Prambanan,LD,"Bagus bangettt Tapi harus baca sinopsisnya yaa jadi bisa paham lagi bagian scene apaaa Secara keseluruhan bagus pol, seluruh pemain , dr pemeran utama , pendukung, gamelan , lighting dll itu bener ben...","5,0
/5",1 Oct 2024
Ramayana Ballet Prambanan,DS,One of the best experiences I had ✨,"5,0
/5",28 Sep 2024
Ramayana Ballet Prambanan,AM,"Keren banget pertunjukannya, ga ngebosenin selama nonton, setelah selesai sudah terpikir mau nonton lagi","5,0
/5",26 Sep 2024
Ramayana Ballet Prambanan,Yofie Meisya Nathania,"Seru bangett, nyaman,","5,0
/5",26 Sep 2024
Ramayana Ballet Prambanan,Syendi Subhekti,"Pertunjukan megah luar biasa, pengalaman yang seru dengan view yang sangat sulit terlupakan","5,0
/5",25 Sep 2024
Ramayana Ballet Prambanan,HP,"First time nonton Prambanan Ballet, seru banget walaupun gak begitu paham ya sama alu ceritanya karena full tarian gak ada narasi. Tapi bagus banget buat ditonton. Jadi pengalaman mengesankan selama d...","5,0
/5",24 Sep 2024
Ramayana Ballet Prambanan,ratna agustina,"Menyenangkan, gampang banget","5,0
/5",21 Sep 2024
Ramayana Ballet Prambanan,Putri Dewi,"Keren bangeet, 1000 worth to spend your money on","5,0
/5",21 Sep 2024
Ramayana Ballet Prambanan,AA,it was fantastic and magical,"5,0
/5",10 Sep 2024
Ramayana Ballet Prambanan,Nurfitria Marhamah Pipit,Pertunjukannya keren abis,"5,0
/5",9 Sep 2024
Ramayana Ballet Prambanan,laylidaygmailcom laylidaygmailcom,"Unik, berkesan dan prosedur yang simpel","5,0
/5",9 Sep 2024
Ramayana Ballet Prambanan,laylidaygmailcom laylidaygmailcom,Pengalaman berkesan dan unik,"5,0
/5",9 Sep 2024
Ramayana Ballet Prambanan,MR,"So amazing dan sangat seru sekali, minimal sekali semur hidup untuk menonton pertunjukan ini","5,0
/5",22 Aug 2024
Ramayana Ballet Prambanan,KA,Baru pertama kali nonton dan sangat bagus,"5,0
/5",22 Aug 2024
Ramayana Ballet Prambanan,YA,"Keren bangettt, engga nyesell sama sekali buat nonton ramayana ballet. Semoga bisa nonton lagii","5,0
/5",21 Aug 2024
Ramayana Ballet Prambanan,Triza Rizky Ramadhani,"Eksperience yang tidak terlupakan nnton ini. Bersama keluarga, anak2 jg excited. Tata panggung Dan tata cahaya yg bagus. Background Candi prambanan menambah bagus stage panggung. Tata Tari Dan musik j...","5,0
/5",19 Aug 2024
Ramayana Ballet Prambanan,TM,mantapppppppppppppppppp,"5,0
/5",13 Aug 2024
Ramayana Ballet Prambanan,Bagas Tri Mulyana,"Kerenn tariannya tidak monoton, ada 2 sesi","5,0
/5",11 Aug 2024
Ramayana Ballet Prambanan,Kelvin Kelvin,"Keren dan seru, menonton bersama keluarga","5,0
/5",10 Aug 2024
Ramayana Ballet Prambanan,Kelvin Kelvin,"Sangat mengejutkan, seru, atraksi keren, dapat membeli makanan dan minuman sebelum masuk ke area penonton, di sarankan membaca dahulu cerita cinta rama dan shinta karena tidak ada teks/ dialog agar me...","5,0
/5",10 Aug 2024
Ramayana Ballet Prambanan,Tutik Haryanti Dina Hartono,Beli ticket nya online jauh jauh hari sebelum hari yang saya inginkan .saya beli tiket untuk keluarga 7 orang dengan tiket Special a.300 ribu. Dengan begitu saya dapat tempat duduk yang sangat bagus b...,"5,0
/5",10 Aug 2024
Ramayana Ballet Prambanan,Heny Vera Oktaria Dewi,Bagi yang belum pernah nyobain dan yang suka bgt sama tampilan tari drama kamu harus coba ya,"5,0
/5",7 Aug 2024
Ramayana Ballet Prambanan,Heny Vera Oktaria Dewi,"Pengalaman pertama menonton sendratari ramayana di prambanan, magical banget.. landcsape prambananan dengan sorot lampu yang menambah nilai magic dari penampilan nya","5,0
/5",7 Aug 2024
Ramayana Ballet Prambanan,Hana Fauzia,Pertunjukkan yg keren banget. Beberapa kali merinding liat stage act para penari.,"5,0
/5",31 Jul 2024
Ramayana Ballet Prambanan,PS,It was awesome! Love it!,"5,0
/5",30 Jul 2024
